Refined_Formal_Name,Original_Entry,Refined_Category,Status/Notes
Antonio Maria Zanetti (the Younger),Antonio Maria Zanetti,Person,[Disambiguation] 小扎内蒂 (图书馆员/学者)。
Antonio Molinari,Antonio Molinari,Person,[Validation] 威尼斯画家。
Antonio Morassi,Antonio Morassi,Person,[Validation] 艺术史学家。
Antonio Palomino,Antonio Palomino,Person,[Validation] 西班牙画家/传记作家。
Antonio Paluello,Antonio Paluello,Person,[Validation] 威尼斯贵族/收藏家。
Antonio Petito,Antonio Petito,Person,[Validation] 著名的Pulcinella演员。
Antonio Ruffo,Antonio Ruffo,Person,[Validation] 西西里著名收藏家 (Rembrandt赞助人)。
Antonio Schinella Conti (Abate Conti),"Antonio Schinella Conti | Conti, Antonio",Person,[Validation] 作家/哲学家。 | [Validation] 威尼斯作家。
Antonio Triva,Antonio Triva,Person,[Validation] 画家。
Antonio Vallisneri,"Antonio Vallisneri | Vallisnieri, Antonio",Person,[Spelling Fix] 科学家/医生。 | [Validation] 科学家/医生。
Antonio Verrio,Antonio Verrio,Person,[Validation] 意大利-英国巴洛克画家。
Antonio Visentini,Antonio Visentini,Person,[Validation] 建筑师/版画家。
Antonio Zanchi,Antonio Zanchi,Person,[Validation] 威尼斯“暗色派”画家。
Antonio Zatta,Antonio Zatta,Person,[Validation] 威尼斯出版商。
Antonio Zucchi,Antonio Zucchi,Person,[Validation] 画家 (Angelica Kauffman之夫)。
Antonio da Venezia,"Venezia, Padre Antonio da",Person,可能是方济各会修士/画家。
Antonio degli Effetti,"Effetti, Antonio degli",Person,[Reconstruction] 罗马贵族/收藏家。
Antonio del Rosso,Antonio del Rosso,Person,[Validation] 佛罗伦萨建筑师/工程师。
Apelles,Apelles,Person,[Validation] 古希腊画家。
Apollo,Apollo,Person (Myth),[Validation] 神话人物。
Apollo and Daphne,Apollo Chasing Daphne | Daphne and Apollo,Work,[Validation] 绘画/雕塑主题。
Apollo and the Muses,Apollo and the Muses,Work,[Validation] 绘画主题。
Apollo conducting Frederick Barbarossa's bride,Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。
Apollo flaying Marsyas,Apollo flaying Marsyas,Work,[Validation] 绘画主题。
Apostolic Chamber (Camera Apostolica),Apostolic Chamber of Commerc,Organization,"[OCR Fix] ""Chamber of Commerc"" 明显错误，应为教廷财务机构。"
Apostolic Palace,Apostolic Palace | Vatican palace,Place,[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 梵蒂冈宗座宫。
Apostolo Zeno,Apostolo Zeno,Person,[Validation] 威尼斯诗人/剧作家。
Apotheosis of Aeneas,Apotheosis of Aeneas,Work,[Validation] 绘画主题。
Apotheosis of the Medici,Apotheosis of the Medici,Work,[Validation] 卢卡·乔尔达诺壁画。
Apotheosis of the Pisani Family,Apotheosis of the Pisani,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。
Arcangelo Corelli,Arcangelo Corelli,Person,[Validation] 作曲家。
Archbasilica of Saint John Lateran,Archbasilica of St. John Lateran | Cathedral of Rome,Place,[Disambiguation] 罗马主教座堂是拉特朗圣若望。 | [Validation] 拉特朗圣若望大殿。
Archbishop of Tarsus,"Tarso, Archbishop of",Person,[Category Fix] 原文误标为 Man-Made Object。可能是指某一具体领衔主教（如 Ferdinando d'Adda）。
Archduke Leopold Wilhelm of Austria,"Archduke Leopold Wilhelm of Austria | Leopold Wilhelm, Archduke",Person,[Category Fix] 原文误标为 Man-Made Object。 | [Validation] 著名艺术收藏家。
Archiepiscopal Palace,Archiepiscopal palace,Place,[Validation] 主教宫。
Archiginnasio of Bologna,Archiginnasio,Place,[Validation] 博洛尼亚大学旧址。
Archives Nationales (France),Archives nationales,Place/Organization,[Validation] 法国国家档案馆。
Archivio Comunale,Archivio Comunale,Place,[Validation] 市政档案馆 (需结合上下文，通常指罗马或威尼斯)。
Archivio Comunale di Treviso,Archivio Comunale di Treviso,Place,[Validation] 特雷维索市政档案馆。
Archivio Mediceo del Principato,Archivio Mediceo,Place,[Validation] 美第奇家族档案。
Archivio Storico Capitolino,Archivio storico capitolino,Place,[Validation] 罗马卡比托利欧档案馆。
Archivio Storico per le Province Napoletane,Archivio Storico per la Province Napoletane,Work,[Correction] 期刊名 (Journal)，非地点。
Archivio del Governatorato di Roma,Arch. del Gov. di Roma,Place/Organization,[Abbreviation] 罗马总督府档案馆。
Archivio della Compagnia di Gesù,Archiviodella Compagnia di Gesù,Place/Organization,[OCR Fix] 单词粘连修复。
Archivio di Stato,Archivio di Stato,Place,[Validation] 国家档案馆 (通用)。
Archivio di Stato di Venezia,Archivio di Stato di Venezia,Place,[Validation] 威尼斯国家档案馆。
Archivio di Stato di Venezia (Sezione Notarile),"Sezione Notarile, Venice | Venice Notarial Section | Venice-Sezione Notarile",Organization,[Category Fix] | [Category Fix] 威尼斯国家档案馆公证处。
Archivio di Stato di Venezia (Stampe),Venice-Stampe,Organization,[Category Fix] 版画/印刷品部门。
Argus Panoptes,Argus guarding,Person (Myth),[Disambiguation] 神话人物（通常出现在 Io 故事中）。
Ariadne being woken by Love,Ariadne being woken by Love,Work,[Validation] 绘画主题。
Ariccia,Ariccia,Place,[Validation] 罗马附近城镇 (Chigi家族领地)。
Aristotle,Aristotle,Person,[Validation] 哲学家。
Aristotle with a Bust of Homer,Aristotle with a Bust of Homer,Work,[Validation] 伦勃朗画作。
Arlington Street,Arlington Street,Place,[Validation] 伦敦街道 (Walpole住所)。
Armand Baschet,Armand Baschet,Person,[Validation] 法国档案学家 (威尼斯外交档案)。
Armenian College (Rome/Venice),Armenian College,Place,[Validation] 亚美尼亚学院。
Arnauld Brejon de Lavergnée,Arnauld Brejon de Lavergnée,Person,[Validation] 现代艺术史学家。
Arnold Hauser,Arnold Hauser,Person,[Validation] 艺术社会史学家。
Arrighini (Family/Artist),Arrighini,Person,"[Context] 可能是 ""Arrighini"" 家族或特定艺术家。"
Arrival of the French Ambassador in Venice,Arrival of the French Ambassador in Venice,Work,[Validation] 卡纳莱托画作。
Art Critics (Roman),"Critics, Roman",Group,[Validation] 群体。
Art Institute of Chicago,Art Institute of Chicago | Art Institute of Chicago Robert A. Waller Fund,Organization,[Refinement] 博物馆基金。 | [Validation] 芝加哥艺术博物馆。
Art dealers,Art dealers,Group,[Validation] 职业群体。
Art exhibitions,Art exhibitions,Event,[Validation] 概念/事件。
Art patronage in 17th-century Munich,"Munich, patronage in 17th century",Concept,[Category Fix] 艺术赞助研究主题。
Arte dei Salumieri,Salumieri Guild,Group,[Category Fix] 威尼斯行会（咸肉商）。
Artemisia Gentileschi,Artemisia Gentileschi,Person,[Validation] 画家。
Artist's position in society (Concept),"Artist's position in society, Andrea Memmo on",Concept,[Validation] 艺术理论议题。
Artistic temperament (Concept),"Artistic temperament', development of concept",Concept,[Validation] 艺术理论概念。
Arts Graphiques de la Cité (AGRACI),"Arts Graphiques de la Cité,Agraci",Organization,[Validation] 巴黎摄影/出版机构。
Arturo Jahn Rusconi,Arturo Jahn Rusconi,Person,[Validation] 艺术史学家。
Ascanio Filomarino,"Ascanio Filomarino | Filomarino, Cardinal",Person,[Disambiguation] 那不勒斯大主教。 | [Validation] 那不勒斯枢机主教。
Ascanius Shooting the Stag of Sylvia,Ascanius Shooting the Stag of Sylvia,Work,[Validation] 克劳德·洛兰画作。
Asclepius,Asclepius,Person (Myth),[Validation] 医神。
Ascoli Piceno,Ascoli Piceno,Place,[Validation] 城市。
Ashmolean Museum,Ashmolean Museum,Place,[Validation] 牛津博物馆。
Assumption of the Virgin,Assumption of the Virgin,Work,[Validation] 绘画主题。
Asti,Asti,Place,[Validation] 城市。
Attila the Hun,Attila,Person,[Validation] 匈人王 (出现在拉斐尔壁画中)。
Augustin Lehmann,Augustin Lehmann,Person,[Validation] 人物 (可能指 19世纪法国画家 Augustin Lehmann 或 Henri Lehmann)。
Augustinian Monastery Altarpiece,Augustinian Monastery Altarpiece,Work,[Validation] 祭坛画。
Augustinian church,Augustinian church,Place,[Validation] 教堂类型/地点。
Augustinian convent,Augustinian convent,Place,[Validation] 修道院。
Augusto Bazzoni,Augusto Bazzoni,Person,[Validation] 历史学家 (威尼斯档案)。
Augusto Pierantoni,Augusto Pierantoni,Person,[Validation] 法学家/政治家。
Augustus,Caesar Augustus,Person,[Disambiguation] 罗马皇帝奥古斯都。
Augustus II the Strong,"Augustus II of Poland (Frederick Augustus I, Elector of Saxony) | Augustus II the Strong",Person,[Disambiguation] 奥古斯都二世。 | [Validation] 萨克森选帝侯/波兰国王。
Augustus III of Poland,"Augustus III of Poland | Augustus III of Poland (Frederick Augustus II, Elector of Saxony)",Person,[Validation] 同上。 | [Validation] 奥古斯都三世。
Aurelio Gotti,Aurelio Gotti,Person,[Validation] 19世纪艺术作家 (Uffizi画廊)。
Aurelio Lepre,Aurelio Lepre,Person,[Validation] 历史学家 (20世纪)。
Aurelio Rezzonico,Aurelio Rezzonico,Person,[Validation] 威尼斯贵族 (教皇克莱门特十三世家族)。
Aurora,Aurora,Person (Myth)/Work,[Validation] 黎明女神或Guercino壁画。
Austrian National Library,Austrian National Library,Place,[Validation] 奥地利国家图书馆。
Avignon,Avignon,Place,[Validation] 城市。
Avviso,Avviso,Work,"[Category Fix] ""Avviso"" 是新闻简报/公报 (Dispatch)，原文误标为 Place。"
Azzo d'Este (Marquis),"Este, Azzo, Marchese d'",Person,[Category Fix] 原文误标为 Work。
Babylon,Babylon,Place,[Validation] 地名。
Bacchanal,Bacchanal,Work,[Validation] 绘画主题 (提香/普桑)。
Bacchanalia,Bacchanalia,Event/Work,[Validation] 节日/绘画主题。
Bacchus,Bacchus,Person (Myth),[Validation] 酒神。
Bacchus and Ariadne,Bacchus and Ariadne,Work,[Validation] 提香画作。
Baccio Bandinelli,Baccio Bandinelli,Person,[Validation] 佛罗伦萨雕塑家。
Baccio Ciarpi,Baccio Ciarpi,Person,[Validation] 托斯卡纳画家 (科尔托纳的老师)。
Badminton House from Badminton Park,Badminton House from Badminton Park,Work,[Validation] 卡纳莱托画作 (View)。
Baglioni Chapel,Baglioni Chapel,Place,[Validation] 佩鲁贾教堂礼拜堂 (拉斐尔祭坛画原址)。
Baglioni Collection,Baglioni collection,Organization/Group,[Validation] 艺术收藏。
Bagnoli,Bagnoli,Place,[Validation] 地名 (那不勒斯附近或帕多瓦附近)。
Baldassare Franceschini (Il Volterrano),Baldassare Franceschini,Person,[Category Fix] 原文误标为 Place。画家。
Baldassare Longhena,"Longhena | Longhena, Baldassare",Person,[Disambiguation] 建筑师。 | [Validation] 建筑师。
Balthasar Neumann,"Johann Balthasar Neumann | Neumann, Balthasar",Person,[Validation] 德国巴洛克建筑师。 | 德国巴洛克建筑师。
Balthasar Permoser,Balthasar Permoser,Person,[Validation] 巴洛克雕塑家。
Balthasar de Monconys,Balthasar de Monconys,Person,[Validation] 法国旅行家/日记作者。
Bamboccianti,Bamboccianti,Group,[Validation] 罗马风俗画家群体。
Bandinello Sauli,Bandinello Sauli,Person,[Validation] 枢机主教。
Banque de France,Bank of France,Organization,[Validation] 机构。
"Banqueting House, Whitehall",Banqueting House,Place,[Validation] 伦敦建筑 (鲁本斯天顶画)。
Barak before Deborah,Barak before Deborah,Work,[Validation] 绘画主题 (Luca Giordano等)。
Barbara Mazza,Barbara Mazza,Person,[Validation] 人物。
Barber Institute of Fine Arts,Barber Institute of Fine Arts,Organization,[Validation] 伯明翰艺术博物馆。
Barberini (Family),Barberini family,Group,[Validation] 罗马显赫家族。
Barberini Chapel (Sant'Andrea della Valle),Barberini Chapel in S. Andrea della Valle | Barberini Chapelin S.Andreadella Valle),Place,[OCR Fix] 标点和空格修复。 | [Validation] 罗马礼拜堂。
Barberini Library,Barberini library,Organization,[Validation] 巴贝里尼图书馆。
Barnabites,Barnabites,Group,[Category Fix] 原文误标为 Place。巴拿巴会 (修会)。
Barnabotti,Barnabotti,Group,[Validation] 威尼斯贫穷贵族阶层。
Bartolomeo Bassante,Bartolomeo Bassante,Person,[Validation] 那不勒斯画家。
Bartolomeo Letterini,"Bartolomeo Letterini | Letterini, Bartolommeo",Person,[Reconstruction] 威尼斯画家。 | [Validation] 威尼斯画家。
Bartolomeo Montagna,Bartolomeo Montagna,Person,[Validation] 维琴察画家。
Bartolomeo Nazari,"Bartolomeo Nazari | Nazari, Bartolommeo",Person,[Validation] 威尼斯肖像画家。 | 威尼斯肖像画家。
Bartolomeo Passante,"Passante, Bartolommeo",Person,那不勒斯画家。
Bartolomeo Schedoni,"Bartolomeo Schedoni | Schedoni, Bartolommeo",Person,[Validation] 帕尔马画家。 | 帕尔马画家。
Bartolomeo Vivarini,Bartolomeo Vivarini,Person,[Validation] 威尼斯画家。
Basilica della Santa Casa,Pontifical basilica of the Holy House...,Place,洛雷托圣家大殿。
Basilica di Sant'Andrea (Mantua),Basilica of Sant'Andrea,Place,[Validation] 曼图亚教堂 (Alberti设计)。
Basilica di Sant'Antonino (Sorrento/Piacenza),Basilica di Sant'Antonino,Place,[Validation] 教堂。
Basilica di Santa Maria Maggiore,Basilica di Santa Maria Maggiore,Place,[Validation] 罗马圣母大殿。
Basilica di Santa Maria dei Servi,basilica di Santa Maria dei Servi,Place,博洛尼亚或锡耶纳教堂。
Basilica of Saint Anthony of Padua,Basilica di Sant'Antonio,Place,[Validation] 帕多瓦圣安东尼大殿 (Il Santo)。
Basilica of Saint Francis (Assisi),Basilica of Saint Francis,Place,[Validation] 阿西西圣方济各圣殿。
Basilica of Saint Paul Outside the Walls,Basilica of Saint Paul Outside the Walls,Place,[Validation] 罗马城外圣保禄大殿。
Basilica of Saints John and Paul,Basilica of Saints John and Paul on the Caelian Hill,Place,[Validation] 罗马 Santi Giovanni e Paolo。
Basilica of San Clemente,Basilica of San Clemente,Place,[Validation] 罗马教堂。
Basilica of San Lorenzo (Florence),Basilica of San Lorenzo,Place,[Validation] 佛罗伦萨教堂。
Basilica of San Vitale (Ravenna/Rome),Basilica of San Vitale,Place,[Validation] 教堂。
Basilica of Santa Croce (Florence),Basilica of Santa Croce,Place,[Validation] 佛罗伦萨教堂。
Basilica of Santa Maria Novella,Basilica of Santa Maria Novella,Place,[Validation] 佛罗伦萨教堂。
Basilica of Santa Sabina,Basilica of Saint Sabina,Place,[Validation] 罗马教堂。
Basilica of the Holy Trinity,Basilica of the Holy Trinity,Place,[Validation] 教堂 (可能是 SS. Trinità)。
Basilicas,Basilicas,Place,[Validation] 建筑类型。
Bathsheba,Bathsheba,Person,[Validation] 圣经人物。
Bathsheba Bathing,Batlisheba Bathing,Work,"[OCR Fix] 修正 ""Batlisheba"" 为 ""Bathsheba""。"
Batteria di Cucina,Battaria di Cusina,Work,"[OCR Fix] 修正 ""Battaria"" 为 ""Batteria"" (Kitchen utensils/Still life)。"
Battistella,Battistela,Person,[Category Fix] 原文误标为 Place。疑似人名 (Antonio Battistella)。
Battistello Caracciolo,Giovanni Battista Caracciolo,Person,[Disambiguation] 那不勒斯画家。
Battle of White Mountain,"White Hill, Battle of",Event,白山战役。
Bavarian State Painting Collections (Bayerische Staatsgemäldesammlungen),Bavarian State Painting Collections,Organization,[Validation] 德国博物馆机构。
Beccari (Dr.),"Beccari, Dr",Person,[Validation] 可能是 Jacopo Bartolomeo Beccari (博洛尼亚科学院)。
Beggar holding a Rosary,Beggar holding a Rosary,Work,[Validation] 画作主题 (可能是Ceruti或Il Pitocchetto)。
Bell Towers for St. Peter's Basilica,Bell Towers for St. Peter's Basilica (demolished),Work,[Validation] 贝尼尼设计的钟楼 (已拆除)。
Belvoir Castle,Belvoir Castle,Place,[Validation] 英国城堡。
Benedetto Croce,Benedetto Croce,Person,[Validation] 哲学家 (后世引用)。
Benedetto Gennari II,Benedetto Gennari,Person,[Disambiguation] 盖尔奇诺的外甥。
Benedetto Giustiniani,"Giustiniani, Benedetto",Person,[Validation] 枢机主教 (Caravaggio 赞助人)。
Benedetto Luti,Benedetto Luti,Person,[Validation] 罗马画家。
Benedetto Menzini,Benedetto Menzini,Person,[Validation] 诗人。
Benedict Nicolson,Benedict Nicolson,Person,[Validation] 艺术史学家。
Benedictines,Benedictines,Group,[Validation] 本笃会。
Benjamin Styles,"Styles, Benjamin",Person,英国南海公司董事，Moor Park 主人。
Benoît Audran the Elder,"Audran, Benoit | Beno?t Audran the Elder",Person,"[Disambiguation] 法国版画家。 | [OCR Fix] 修正 ""?"" 为 ""î""。"
Bensberg Castle,Bensburg Castle,Place,"[OCR Fix] 修正 ""Bensburg"" 为 ""Bensberg"" (Schloss Bensberg)。"
Bentvueghels,Bentvueghels,Group,[Category Fix] 原文误标为 Place。北方画家在罗马的社团。
Benvenuto Cellini,Benvenuto Cellini,Person,[Validation] 雕塑家/金匠。
Beretta,Beretta,Person,[Category Fix] 原文误标为 Place。可能是 Carlo Beretta (雕塑家) 或 generic surname。
Bergamasque Community,Bergamasque community,Group,[Category Fix] 原文误标为 Place。贝加莫人群体。
Bergamo Cathedral,Bergamo Cathedral,Place,[Validation] 贝加莫大教堂。
Berlinghiero Gessi,Berlinghiero Gessi,Person,[Validation] 枢机主教。
Bernard Aikema,Bernard Aikema,Person,[Validation] 艺术史学家。
Bernard Le Bovier de Fontenelle,Bernard Le Bovier de Fontenelle | Fontenelle,Person,[Disambiguation] 法国作家。 | [Validation] 作家。
